"tweets.user_id","tweets.status_id","tweets.created_at","tweets.screen_name","tweets.text","tweets.source","tweets.display_text_width","tweets.reply_to_status_id","tweets.reply_to_user_id","tweets.reply_to_screen_name","tweets.is_quote","tweets.is_retweet","tweets.favorite_count","tweets.retweet_count","tweets.quote_count","tweets.reply_count","tweets.ext_media_type","tweets.lang","tweets.quoted_status_id","tweets.quoted_text","tweets.quoted_created_at","tweets.quoted_source","tweets.quoted_favorite_count","tweets.quoted_retweet_count","tweets.quoted_user_id","tweets.quoted_screen_name","tweets.name","tweets.quoted_followers_count","tweets.quoted_friends_count","tweets.quoted_statuses_count","tweets.quoted_location","tweets.quoted_description","tweets.quoted_verified","tweets.retweet_status_id","tweets.retweet_text","tweets.retweet_created_at","tweets.retweet_source","tweets.retweet_favorite_count","tweets.retweet_retweet_count","tweets.retweet_user_id","tweets.retweet_screen_name","tweets.retweet_name","tweets.retweet_followers_count","tweets.retweet_friends_count","tweets.retweet_statuses_count","tweets.retweet_location","tweets.retweet_description","tweets.retweet_verified","tweets.place_url","tweets.place_name","tweets.place_full_name","tweets.place_type","tweets.country","tweets.country_code"
"x1353564487002058753","x1512490523961053185",2022-04-08 18:00:16,"rbhs_social_fri","Excited for Spring break? Here are five things to do over the break! #Springbreak #Redbank # Easter # Beach # Oscars https://t.co/m9J4Kaz3qX","Hootsuite Inc.",116,,,,FALSE,FALSE,1,0,,,,"en",,,,,,,,,"RBHS Social Media Marketing FRI",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x1485989542046081024","x1512490514947268610",2022-04-08 18:00:14,"Prantika_G",".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN","Twitter for Android",140,,,,FALSE,TRUE,0,264,,,,"en",,,,,,,,,"Prantika for #SaveSoil",,,,,,,"x1512444512756506628",".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN",2022-04-08 14:57:26,"Twitter for Android",375,264,"x1467080747479666691","cpsavesoil","Conscious Planet #SaveSoil",30885,17,955,"United States","#SaveSoil, a global movement envisioned by @SadhguruJV, seeks to bring about a concerted, conscious response to impending soil extinction.",FALSE,,,,,,
"x17308428","x1512490504797184001",2022-04-08 18:00:11,"BN9","The Academy of Motion Picture Arts and Sciences' Board of Governors will meet Friday to determine what disciplinary action, if any, will be taken against actor Will Smith over his on-stage smack of comedian Chris Rock during this year's Oscars ceremony. https://t.co/StMXBD9nEw","SocialNewsDesk",277,,,,FALSE,FALSE,0,0,,,,"en",,,,,,,,,"Spectrum Bay News 9",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x15927998","x1512490500636520459",2022-04-08 18:00:10,"HealthyPlace","Is Making Jokes Considered #VerbalAbuse? New. || https://t.co/Y71hpdKZKZ
--
#abuse #emotionalabuse #oscars #willsmith #chrisrock #justjoking #anxiety #depression #ptsd #mentalhealth #mentalillness #mhsm #mhchat https://t.co/pNAldBof2f","Sprout Social",210,,,,FALSE,FALSE,0,0,,,,"en",,,,,,,,,"HealthyPlace",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x88902818","x1512490460899524610",2022-04-08 18:00:01,"the_majalla","A week after #WillSmith slapped Chris Rock at the Oscars, Hollywood was still abuzz with activity until the “King Richard” star resigned from the Academy of Motion Picture Arts and Sciences, which puts on the #Oscars.

Read More: https://t.co/cc7u6B8vye https://t.co/M3sNcxGYtr","Twitter Web App",253,,,,FALSE,FALSE,0,0,,,,"en",,,,,,,,,"MAJALLA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x1433345997455990792","x1512490388623437824",2022-04-08 17:59:44,"CDestruktion","Billy Crystal Calls Will Smith Oscars Slap a 'Most Disturbing Incident' https://t.co/YJ0CcdYw2L https://t.co/YkcoTK29Cg","Twitter Web App",136,,,,FALSE,TRUE,0,4,,,,"en",,,,,,,,,"CJ_Destruktion",,,,,,,"x1512427597157732353","Billy Crystal Calls Will Smith Oscars Slap a 'Most Disturbing Incident' https://t.co/YJ0CcdYw2L https://t.co/YkcoTK29Cg",2022-04-08 13:50:13,"dlvr.it",24,4,"x916933621646286848","DeluxeCeleb","Deluxe",21,0,7600,"Worldwide","The official #DeluxeCeleb instagram and Twitter account!",FALSE,,,,,,
"x1433345997455990792","x1512490422614077444",2022-04-08 17:59:52,"CDestruktion","Billy Crystal Calls Will Smith Oscars Slap a 'Most Disturbing Incident'  https://t.co/R2YTwzwfx0","Twitter Web App",108,,,,FALSE,TRUE,0,11,,,,"en",,,,,,,,,"CJ_Destruktion",,,,,,,"x1512109955272351748","Billy Crystal Calls Will Smith Oscars Slap a 'Most Disturbing Incident'  https://t.co/R2YTwzwfx0",2022-04-07 16:48:01,"True Anthem",126,11,"x25589776","people","People",7718125,1704,381594,"","The #1 source for celebrity news and inspiring stories. <U+2728> Listen to PEOPLE’s newest podcast, Me Becoming Mom: https://t.co/G1XLAPeLDV",TRUE,,,,,,
"x1126727238","x1512490355207417868",2022-04-08 17:59:36,"StecKevin","@the3els @Dzimi22 @Faraday002 @ASAP_Pipa The second he lost people started saying actor and making memes of him at the Oscars, aljos right for not giving a shit about these peoples respect imo

The other part is objective truth but the bulk of what he was saying and the point he made was ""aljo should do this because...""","Twitter for Android",280,"x1512489751160537089","x522440838","the3els",FALSE,FALSE,0,0,,,,"en",,,,,,,,,"kevin stec",,,,,,,,,,,,,,,,,,,,,,,,,,,
"x1291651352","x1512490353366122496",2022-04-08 17:59:35,"GirlHusker84","He didn’t shoot anyone at the Oscars https://t.co/VYKogOC14H","Twitter for iPhone",53,,,,FALSE,TRUE,0,3,,,,"en",,,,,,,,,"Briabear",,,,,,,"x1512490204698882049","He didn’t shoot anyone at the Oscars https://t.co/VYKogOC14H",2022-04-08 17:59:00,"Twitter for iPhone",6,3,"x1470106011159597060","Joe_From_CA","Joseph Schmuckatelli",238,507,5095,"The 626","Never had a Twitter account before, just trying to figure it all out.",FALSE,,,,,,
"x1273735906487345153","x1512490353152208913",2022-04-08 17:59:35,"TashaTashan5","Before Jada ever knew that some day a soft rapper from Philly would set it off at the Oscars and bish-slap Pookie from New Jack City

#WillSmithAssault FlashbackFriday #Oscars Set It Off https://t.co/eUIbFjYMIa","Twitter for Android",140,,,,FALSE,TRUE,0,62,,,,"en",,,,,,,,,"GeorgiaTasha<U+0001F1FA><U+0001F1EC>",,,,,,,"x1512476495893180420","Before Jada ever knew that some day a soft rapper from Philly would set it off at the Oscars and bish-slap Pookie from New Jack City

#WillSmithAssault FlashbackFriday #Oscars Set It Off https://t.co/eUIbFjYMIa",2022-04-08 17:04:31,"Twitter for iPad",56,62,"x1366973172","RewindMzansi","J<U+0001F170><U+FE0F>Y",16293,12936,127254,"Yonkindawo","TV writer for @quickreadmag <U+29BF> How-To Columnist <U+29BF>MzansiMagic fan<U+29BF> Reliable source of updates on #TheQueenMzansi #GomoraMzansi <U+29BF> Writing & TV <U+29BF> Ex twitter convict",FALSE,,,,,,
"x1160229235816042496","x1512490352581750784",2022-04-08 17:59:35,"jono_jarmen","Hollywood will decree later whether #WillSmith should lose his Oscar. it would be a travesty bearing in mind rapist Harvey Weinstein has kept his two Oscars","Twitter Web App",140,,,,FALSE,TRUE,0,9,,,,"en",,,,,,,,,"JJ",,,,,,,"x1512467985465815043","Hollywood will decree later whether #WillSmith should lose his Oscar. it would be a travesty bearing in mind rapist Harvey Weinstein has kept his two Oscars",2022-04-08 16:30:42,"Twitter Web App",106,9,"x1944466748","toryboypierce","Andrew Pierce",202958,693,20636,"london","Political hack on Daily Mail. impish, or total bastard, depending on your point of view. @lbc Friday evening presenter from 6pm",FALSE,,,,,,
"x1337504635754450945","x1512490286726860800",2022-04-08 17:59:19,"Mandarin994","@TheAcademy @EW @Variety @THR  @MMandOscar  #Oscars  @GoldDerby @moviescope @etnow  @NextBestPicture   @AwardsDaily @awards_watch @ErickWeber @AwardsCircuit  ROTTEN TOMATOES 5 STARS !! Able to pull off successfully. Bold, innovative film  grown increasingly scarce. Best movie. https://t.co/lwt9fyUsc8","Twitter Web App",277,,"x200163448","TheAcademy",FALSE,FALSE,1,0,,,,"en",,,,,,,,,"Mandarin99",,,,,,,,,,,,,,,,,,,,,,,,,,,
